Card_Number,Outlet_Number,Terminal_ID,Transaction_Date,Transaction_Currency,Transaction_Amount
2376513805982539,573125457,ANC87D1T,2024030216:56:42,504,5994.57
4816491037409,8426151056,8LRBEKHC,2024030212:37:16,504,1551.63
4020351529155,7775461758,M9XRZ47F,2024030409:01:22,504,9791.8
4105245577310,188730997,C4VJUL5U,2024031312:58:46,504,1024.36
3506413541537922,9912215411,MP0GIO2O,2024030500:58:00,504,9198.14
213177619642266,8087679468,U7WG3R4Y,2024032004:27:05,504,3728.53
30409660753226,1689232722,GHRUIRQE,2024031122:50:38,504,6973.31
4330179800495157,8932338185,3SLBRCH9,2024030713:05:27,504,3169.07
3595271882782123,8888907419,5P3W0H86,2024030422:58:57,504,5658.04
374426359939282,1553253595,XB4DBTJD,2024031315:34:56,504,989.83
570230622674,8199888541,8DDHDJIA,2024030314:22:30,504,5288.28
4055079794848,6507170069,3X81IARM,2024030415:16:39,504,4022.39
4.06123320593842E+018,1018879800,04LHOBVZ,2024030420:55:28,504,6094.78
60497551832,7416546275,P68BRIS8,2024030405:20:37,504,8001.51
30354952728017,8775229187,738R7HNJ,2024031302:53:24,504,4279.83
180058860783208,9204159223,ZYVOEYNA,2024030723:47:52,504,7638.69
3558893438577122,2014496674,SX11URGP,2024031420:55:37,504,8592.56
4785177389527341,8760185536,AKAYLTU4,2024032005:22:20,504,474.48
374890036951228,1074860321,25UJEF5I,2024030915:42:31,504,6199.35
4991008883395,4882846631,FN121OYD,2024031309:20:30,504,8351.19
4.56930220512721E+018,1500036452,TPGSICCJ,2024030419:32:21,504,3573.45
4030170178173867,7773013214,Z8OS2DY5,2024030514:16:03,504,6741.09
3519988319964072,7463843081,2D9SM7C2,2024031408:39:31,504,3588.76
4.88405657022514E+018,2950089486,4Z2D07F6,2024030201:52:37,504,9054.77
4733815692351650,3691888959,YV9Q0UO8,2024031910:02:04,504,3732.53
371599625483799,4030193747,E4834R8P,2024030216:41:55,504,2956.6
213148547598615,9307404004,JOYMD5IF,2024031601:47:41,504,9783.21
30255296556933,8720684121,PDK0C81I,2024030117:15:28,504,3947.69
4809892711813720,2931430053,8SRXOU10,2024031520:09:17,504,8898.82
3564792551932480,9713256177,EPZM17X3,2024030922:32:01,504,5338.92
36715437468821,8070772679,9RJE9Y5T,2024030323:50:15,504,7454.09
2279893551868571,7484655441,1MHI6OB3,2024031214:16:58,504,2444.44
2299816134642599,397626950,6N4GNSHP,2024030403:31:09,504,1062.43
639085382070,7984295601,XUKGL0BU,2024031900:28:04,504,1071.87
2709535614188535,874333205,56AT5C3V,2024030411:55:20,504,4452.41
2336787382848078,7476470195,WCA5HBF4,2024031616:34:18,504,6796.01
3502833543594999,3323383270,XT7VTR0X,2024031803:10:43,504,4334.96
502065249448,5892518560,D7JY9SN9,2024030819:48:14,504,8504.63
6011896936762702,5384642076,130XP3XN,2024030712:50:37,504,2139.43
30235045069511,7873729161,UJS0PAX3,2024031903:19:54,504,6254.46
4966608889034,8752503979,EBAP32CD,2024030123:36:12,504,1989.16
371100706637724,8715458861,YU8CO9TU,2024031418:18:50,504,1650.59
4.42978406005642E+018,3427619475,W1COYRXR,2024030803:22:33,504,4271.11
38081129828113,5591171397,WL14UE9U,2024031700:14:41,504,9291.18
3521617348910360,3913671052,EKNHNVYR,2024030905:45:14,504,3047.67
3539911799848587,7058968696,WJAN7SF6,2024031611:21:29,504,7350.93
4334060383274886,6997409640,3H7ET0HL,2024030909:42:34,504,556.88
6011764090767463,4176765230,517R1UTG,2024030106:38:49,504,773.37
180003414635751,4638100103,TBU2L0JM,2024031813:11:58,504,75.65
3512940453272298,9323628832,R4TXGKW9,2024031613:07:34,504,8057.68
6503210579943196,9608038853,FVM8S500,2024031416:02:20,504,9988.55
3589981892880208,3427362584,84MRFJCE,2024031500:20:14,504,1186.8
3551555881108880,6185186725,9Z5PT18K,2024031016:05:16,504,7388.15
676221321307,105507587,7ZHMW1GS,2024030609:50:44,504,4345.03
4666212629818954,744500158,VWHLNO1X,2024030216:28:48,504,6586.67
502097309970,3958198850,JP934Y9Q,2024031801:06:50,504,6746.75
2529800472159137,943713407,EQJF7R9O,,504,5347
4895127626746052,1107226010,KDVONGG9,2024030205:11:26,504,2448.32
180000264767015,5430589544,Q2T2FIA0,2024031119:34:35,504,5055.99
4.68312274311409E+018,1825290214,98XIRPKT,,504,6633.83
4.92205927816835E+018,81730537,CZ5T1VMB,2024030423:43:59,504,4805.76
6503866918598593,4342340683,JYWFJ42C,2024030501:46:31,504,712.55
30332945591270,6019570741,LUBRPKD6,2024030409:09:16,504,1563.56
374098046173946,5024944680,HIFWHU71,,504,5122.42
4455957455579394,1520974254,7R59NZRP,2024031702:55:08,504,4850.47
4.11389014790375E+018,2001813202,S46SJDUK,2024030804:22:05,504,6155.35
3588532637241338,1584076287,IJIEKTE5,2024031713:00:21,504,8035.14
2708861160401762,1635294927,PYPG6L2S,,504,3235.4
